asin,title,imgUrl,productURL,stars,reviews,price,listPrice,category_id,isBestSeller,boughtInLastMonth
B07FNJXLX6,"Vienna Spinner Suitcase Luggage - Expandable with Wheels - 26.7 Inch, Black",https://m.media-amazon.com/images/I/81NWjyJiPlL._AC_UL320_.jpg,https://www.amazon.com/dp/B07FNJXLX6,4.3,0,101.32,0.0,104,False,50
B0BDLYKQPZ,"3 Pieces Clear Luggage Covers for Suitcase Waterproof Luggage Protector Luggage Protective Cover for Travel (Fits Most 20"" to 28"" Luggage)",https://m.media-amazon.com/images/I/71QybQfhEwL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BDLYKQPZ,4.1,0,22.98,0.0,104,False,300
B07G23DCNL,"Bold-Softside Expandable Luggage with Spinner Wheels, Blue/Black, Checked-Medium 26-Inch",https://m.media-amazon.com/images/I/91goVfbZDkL._AC_UL320_.jpg,https://www.amazon.com/dp/B07G23DCNL,4.5,0,212.49,249.99,104,False,0
B07GNWPT8C,"Geometric Travel Luggage Expandable Suitcase Spinner with Wheels and Built-In TSA Lock, 21.7-Inch - Pink",https://m.media-amazon.com/images/I/81dYj3YPlCL._AC_UL320_.jpg,https://www.amazon.com/dp/B07GNWPT8C,4.6,0,83.17,0.0,104,False,100
B078KVYFCQ,"Helium Aero Hardside Expandable Luggage with Spinner Wheels, Blue Cobalt, 3-Piece Set (21/25/29)",https://m.media-amazon.com/images/I/71FTr4k1ihL._AC_UL320_.jpg,https://www.amazon.com/dp/B078KVYFCQ,4.4,0,399.99,0.0,104,False,0
B07GLNNQWF,"Werks Traveler 6.0 Softside Spinner Luggage, Blue, Checked-Large (27"") (605412)",https://m.media-amazon.com/images/I/81SwUrzO8iL._AC_UL320_.jpg,https://www.amazon.com/dp/B07GLNNQWF,4.6,0,650.0,0.0,104,False,0
B0B3X4CH2R,"GinzaTravel Trunk Luggage, 28 Inch Luggage with Spinner Wheels, Scratch resistant texture Lightweight PC material with TSA Lock（Family Travel Series ） (Black)",https://m.media-amazon.com/images/I/719HAO2Kv1L._AC_UL320_.jpg,https://www.amazon.com/dp/B0B3X4CH2R,4.2,0,109.97,119.97,104,False,50
B0BN4CTWBF,"Evolve SE Hardside Expandable Luggage with Double Wheels, Matte Burgundy, Large Spinner",https://m.media-amazon.com/images/I/91jnf6Egh8L._AC_UL320_.jpg,https://www.amazon.com/dp/B0BN4CTWBF,4.5,0,155.0,199.99,104,False,100
B083LTWRH7,"Carry On Luggage Hard Shell Travel Trolley 4 Spinner Wheels Lightweight Polypropylene Suitcase with TSA Lock (Carry-On 21-Inch, Green)",https://m.media-amazon.com/images/I/51dLLz87UsL._AC_UL320_.jpg,https://www.amazon.com/dp/B083LTWRH7,4.4,0,89.99,99.99,104,False,0
B0BS8X313Z,"Carry On Luggage 20'' Suitcase with Spinner Wheels Hardshell Lightweight Rolling Suitcases PC with Cover & TSA Lock for Business Travel, Sapphire Blue",https://m.media-amazon.com/images/I/61a0jaAzmaL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BS8X313Z,4.3,0,160.99,0.0,104,False,0
B0C61B5V1F,Luggage Expandable PC ABS Durable Hardside Suitcase with Spinner Wheels TSA Lock Checked-Medium 24 Inch LightGreen,https://m.media-amazon.com/images/I/71ed4BQCGGL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C61B5V1F,4.6,0,109.99,0.0,104,False,0
B081KR1T8K,"Belle Voyage Softside Luggage with Spinner Wheels, red, Checked-Medium 25-Inch",https://m.media-amazon.com/images/I/81ZNbpqoJSL._AC_UL320_.jpg,https://www.amazon.com/dp/B081KR1T8K,4.6,0,78.9,0.0,104,False,50
B0BNJHHTG6,"Luggage PC+ABS Durable Expandable Hardside Suitcase with Double Spinner Wheels TSA Lock 28-Inch, Blue",https://m.media-amazon.com/images/I/81wzGhUq0OL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BNJHHTG6,4.6,0,129.99,0.0,104,False,50
B0BJFJ772Y,"Luggage Cover 3 Pieces Clear PVC Suitcase Covers Protector for Tsa Approved, Suitcase Cover Set for 20 24 28 inch Luggage.",https://m.media-amazon.com/images/I/71IEkbxlrWL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BJFJ772Y,4.3,0,29.99,0.0,104,False,200
B0BNX2P6S9,20'' Carry on Luggage Lightweight with Spinner Wheel TSA Lock Hardside Luggage Airline Approved Carry on Suitcase Cream White,https://m.media-amazon.com/images/I/61PQ5EWxYlL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BNX2P6S9,4.6,0,59.99,0.0,104,False,100
B0BZ4LY43M,"All Aluminum Luggage Zipperless Hard Shell Suitcase with TSA Lock Spinner Wheels Lightweight Metal Alloy Suitcases (Silver, 28 inch)",https://m.media-amazon.com/images/I/71EaIEhKCnL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BZ4LY43M,4.2,0,449.99,0.0,104,False,0
B01N0QT1UZ,"Subterra Carry On Roller 22""",https://m.media-amazon.com/images/I/51HwsbMdzmL._AC_UL320_.jpg,https://www.amazon.com/dp/B01N0QT1UZ,4.5,0,359.95,0.0,104,False,0
B07MX2BYB5,Alpha 3 Worldwide Trip Expandable 4-Wheeled Packing Case - Large Suitcase with Top and Side-Grab Handles - Black,https://m.media-amazon.com/images/I/81kf9Mm4WIL._AC_UL320_.jpg,https://www.amazon.com/dp/B07MX2BYB5,3.7,0,1495.0,0.0,104,False,0
B0B6LT4ST4,"Sky Max 2.0 Softside Expandable Luggage with Spinner Wheels, Blue, Checked-Medium, 24 Inch",https://m.media-amazon.com/images/I/814AO8mmsmL._AC_UL320_.jpg,https://www.amazon.com/dp/B0B6LT4ST4,4.3,0,159.99,169.99,104,False,50
B089CZ9N1M,"Reaction ""Madison Square"" Women's Lightweight Hardside Chevron Expandable Spinner Luggage, 28-inch Checked, Black With Gold Zippers",https://m.media-amazon.com/images/I/61K-NjoGJeL._AC_UL320_.jpg,https://www.amazon.com/dp/B089CZ9N1M,4.1,0,185.0,0.0,104,False,0
